"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","29553072.6256983","45139664.8044693","87374301.6759776","107486033.519553","155474860.335196","878770949.72067","1069217877.09497","1154357541.89944","1296759776.53631","1346145251.39665","1734860335.19553","1728324022.34637","1164469273.74302","282519553.072626","234692737.430168","191899441.340782","223798882.681564","159273743.01676","3434581005.58659","4416215839.35408","4717024446.35535","5206592178.77095","5456592178.77095","1951843575.41899","264525139.664804","5180167597.76536","1388882681.56425","278988734.078212","258945444.692737","332533356.424581","284010007.658349","134599535.763459","194096880.9558","130708110.217283","87331576.4179748","123003045.677282",
"Africa Eastern and Southern","AFE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","21636238349.4535","28650584161.3255","39872223827.7419","32885557794.6695","28198912578.9542","29290646415.4411","27787668641.5659","26080346547.1352","27923631351.6248","35669826909.2025","37633382132.5042","37115087394.3798","39077083925.1425","37930550479.5254","39751886518.59","41904664696.9117","44234129686.9205","49430578977.6919","52414960100.3773","53636287241.6218","48518314360.9803","49608330781.2326","57692717918.3973","55458414556.5642","59212454791.9204","71197952742.1848","90521942668.5187","115181006786.056","138941126170.302","175615311143.26","214213245616.536","161081070276.23","210686625127.43","254502077580.402","244063611958.346","243925970625.335","232833707056.923","180778701475.839","171393504339.92","195415160359.409","216312984807.204","202850110924.519","180515088136.862","257713186128.58",
"Afghanistan","AFG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","493700000","705200000","690800000","707800000","728800000","787700000","628200000","497000000","538700000","453800000","252300000","","","","","","","","","","","","","","","","","","","563299197.53","408756401.27","435773347.55","460318410.71","475530985.177909","505792648.17849","641767413.462016","577859765.734545","614217572.055707","783962916.810291","875242667.370635","863834412.223754","776734541.770538","",
"Africa Western and Central","AFW","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","21429923458.7537","19050793611.6065","28503704085.5909","41297768771.0285","31229460604.7232","23558492708.8072","21033300301.7163","23707439815.2946","25055814834.3468","14953020929.2051","18370683406.0488","17473273146.3743","19651677300.9025","28649736788.6831","26300774255.9071","25471361124.8447","22610273649.3581","22066833590.562","17217851985.5079","20870085473.689","19770938816.9638","16254282170.3946","29504700105.7451","39356779132.8601","36714681541.0594","34785252324.5324","48176200964.5679","64651161954.748","94276001554.4933","101829866867.218","115320567546.426","148808594110.778","109458029042.445","145956949607.889","181936466327.25","180599761571.504","182111235777.98","165721308303.73","108419423908.147","96448568249.5894","119290361029.41","142735932660.578","149745951211.251","116959828771.911","",
"Angola","AGO","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2301000000","1346000000","2322000000","2492000000","3014000000","3883900000","3449300000","3832800000","2900500000","3016600000","3722700000","5095000000","5006760000","3542870000","5156530000","7920710000","6534320000","8327889093","9508176643","13475002110","24109411611","31862236056","44396193769","63913941114","40827945315.81","50594853215.38","67310283732.3282","71093269879.5401","68246518070.6135","59169884894.9568","33181130225.6441","27588875075.4791","34613454927.6954","40757766796.592","34725561391.1333","20937437117.7636","33581489802.6561",
"Albania","ALB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","367200000","418000000","359900000","341000000","319100000","303500000","311300000","311200000","344600000","393700000","322100000","73000000","70000000","111600000","141300000","204900000","243700000","90900000","100670000","91700000","95200000","109500000","85180000","100716315.535505","149032362.106163","194117835.566333","223619399.423827","359838411.991624","546214691.484925","403524040.622965","739411255.845598","962502319.003512","1123281060.92356","1417739063.45629","1239878797.11331","855336790.67565","789221582.359357","901243616.770574","1163648667.07628","1014731694.61822","908550736.111017","1494341012.99278",
"Andorra","AND","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129972471.326502","169400776.664891","",
"Arab World","ARB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","3918000000","5651000000","6401000000","7810000000","8021000000","9143000000","7623000000","7835000000","8100000000","8396000000","6852000000","6360000000","9134000000","9573000000","12354000000","11978000000","12397400000","13262600000","16026700000","21141832000","24034600000","26420900000","26408700000","23287800000","26337200000","26528000000","25634300000","29950400000","34588800000","40434150000","46617500000","56076562000","70159472000","55790984000","68305873000","83119709000","80083655000","75928228361.0699","68440435907","56809053493","57959933690.53","58661873551.7799","61801002638.2899","65162061724.8101","54945618595.9299","77986713146.4501",
"Armenia","ARM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156190000","215350000","275019740","292039423","233966582","232508497","246894782","313760102","369336820","554555704","724987013","770352079.78","1028698417","1052970724","1204225219","1106287496","773615111","1197479193.0037","1431559506.23018","1515701954.51278","1635856170.26272","1698148849.62406","1623898609.17599","1892025432.6924","2387607344.86313","2724729180.6251","3360716478.97757","2718848499.94558","3276624686.15394",
